phuong_phap,run_name,macro_f1,macro_f1_lo,macro_f1_hi,ms_moi_mau,vram_mb,tham_so_huan_luyen,loai_chi_phi,ms_bien,ms_bo_phan_loai,troi_giua_hai_luot_pct
Baseline bề mặt (E01),e01_surface_baseline,0.6562428116984713,0.6199677663783115,0.6890836078467251,0.0011257148746933257,0.0,9,chỉ CPU,0.0011257148746933257,,
Gemini giám khảo (E10),e10_gemini_judge,0.6637388843518897,0.6070280955879497,0.7191319713593084,8194.0,0.0,0,API ngoài,8194.0,,
PhoBERT-large tinh chỉnh (E09),e09_phobert,0.748663484832481,0.7136927541397368,0.7776046865498619,12.296339330476128,9002.07861328125,369166339,"GPU cục bộ, bộ mã hóa",12.296339330476128,,
XLM-R-large tinh chỉnh (E09),e09_xlmr,0.7761832106969129,0.7570033028388338,0.8184298127106244,25.197331133571033,11230.81298828125,559893507,"GPU cục bộ, bộ mã hóa",25.197331133571033,,
"Lookback gộp, Qwen2.5-7B (E02)",e02_lookback_lens,0.7451033243486074,0.7110814161087855,0.7762306968567191,437.60718072693646,8328.02783203125,2271,"GPU cục bộ, lượt đọc",0.0,0.009645000100135803,2.089694577722114
"Chunk-aware, Qwen2.5-7B (E03)",e03_chunk_aware,0.7567130878616751,0.7242097082232333,0.7885347655426854,437.60718072693646,8328.02783203125,579,"GPU cục bộ, lượt đọc",0.0,0.0034907140902110507,2.089694577722114
"Lookback gộp, Qwen2.5-3B (E14)",e14_baseline_lookback_qwen3b,0.7345172963016061,0.6993961782829492,0.7670787663233759,222.69234724619764,3710.43603515625,195,"GPU cục bộ, lượt đọc",0.0,0.0015285717589514597,0.12880048815649228
"Chunk-aware, Qwen2.5-3B (E14)",e14_qwen3b_vihallu,0.7216742627216105,0.6877310293602774,0.7543991754101805,222.69234724619764,3710.43603515625,1851,"GPU cục bộ, lượt đọc",0.0,0.008004286459514074,0.12880048815649228
"Lookback gộp, Qwen2.5-1.5B (E14)",e14_baseline_lookback_qwen15b,0.7231918893683599,0.6894769751943177,0.7558024224457077,608.1278700752189,2718.41259765625,1011,"GPU cục bộ, lượt đọc",0.0,0.005187714206320899,0.04432865340936586
"Chunk-aware, Qwen2.5-1.5B (E14)",e14_qwen15b_vihallu,0.7345479581901021,0.6998679867166374,0.7661449267143899,608.1278700752189,2718.41259765625,1131,"GPU cục bộ, lượt đọc",0.0,0.005558856895991734,0.04432865340936586
"Lookback gộp, Sailor2-8B (E13)",e13_baseline_lookback_sailor2,0.7377312962118631,0.7050641782072887,0.7695207734869149,,,195,"GPU cục bộ, lượt đọc",0.0,0.0013786233117111786,
"Chunk-aware, Sailor2-8B (E13)",e13_sailor2_vihallu,0.7119706095997854,0.6780179764298825,0.7452121253761695,,,1155,"GPU cục bộ, lượt đọc",0.0,0.005975608824828434,
